ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Valor_Total
1,2023-08-26,1847,Cadeira Gamer,Móveis,1403.51,2,2807.02
2,2023-08-28,1684,Webcam,Acessórios,903.64,5,4518.2
3,2023-09-20,2047,Headset,Áudio,4814.81,5,24074.050000000003
4,2023-09-08,3736,Cadeira Gamer,Móveis,2950.43,4,11801.72
5,2023-02-18,4787,Webcam,Acessórios,806.65,4,3226.6
6,2023-04-23,2060,Mouse,Acessórios,3495.12,2,6990.24
7,2023-07-08,4484,Notebook,Eletrônicos,3807.91,1,3807.91
8,2023-01-06,2307,Cadeira Gamer,Móveis,4824.24,1,4824.24
9,2023-03-26,2712,Headset,Áudio,3919.91,1,3919.91
10,2023-12-11,4906,Notebook,Eletrônicos,2147.68,4,8590.72
11,2023-08-30,1503,Teclado,Acessórios,2440.07,1,2440.07
12,2023-07-21,2218,Monitor,Eletrônicos,1214.68,1,1214.68
13,2023-12-08,4675,Notebook,Eletrônicos,2169.78,1,2169.78
14,2023-05-29,2505,Headset,Áudio,2441.85,3,7325.549999999999
15,2023-04-07,4082,Cadeira Gamer,Móveis,2605.9,4,10423.6
16,2023-06-02,3642,Cadeira Gamer,Móveis,4306.35,1,4306.35
17,2024-01-01,1513,Webcam,Acessórios,2349.75,4,9399.0
18,2023-09-10,4297,Notebook,Eletrônicos,2789.3,2,5578.6
19,2023-12-06,2294,Webcam,Acessórios,1732.9,1,1732.9
20,2023-08-17,2050,Teclado,Acessórios,880.21,4,3520.84
21,2023-07-16,1273,Headset,Áudio,4116.39,5,20581.95
22,2023-05-11,4144,Webcam,Acessórios,2844.1,3,8532.3
23,2023-02-08,1066,Mouse,Acessórios,1272.17,4,5088.68
24,2023-04-19,1766,Teclado,Acessórios,160.37,1,160.37
25,2023-11-22,3190,Mouse,Acessórios,1079.22,2,2158.44
26,2023-12-03,3413,Webcam,Acessórios,771.77,2,1543.54
27,2023-08-15,2458,Monitor,Eletrônicos,4566.92,2,9133.84
28,2023-05-12,4316,Mouse,Acessórios,1504.35,1,1504.35
29,2023-12-25,2139,Notebook,Eletrônicos,3379.89,1,3379.89
30,2023-05-26,3369,Monitor,Eletrônicos,1630.46,5,8152.3
31,2023-10-30,4947,Headset,Áudio,3112.04,5,15560.2
32,2023-10-04,4920,Monitor,Eletrônicos,2606.13,4,10424.52
33,2023-11-05,3302,Headset,Áudio,3124.93,1,3124.93
34,2023-08-02,3802,Webcam,Acessórios,283.08,3,849.24
35,2023-05-28,4247,Webcam,Acessórios,727.35,5,3636.75
36,2023-10-13,1487,Headset,Áudio,991.4,1,991.4
37,2023-10-04,3706,Headset,Áudio,881.03,4,3524.12
38,2023-06-30,1064,Teclado,Acessórios,1341.96,4,5367.84
39,2023-12-26,2221,Teclado,Acessórios,1027.09,5,5135.45
40,2023-02-23,2237,Mouse,Acessórios,2074.6,2,4149.2
41,2023-07-11,3412,Mouse,Acessórios,202.3,4,809.2
42,2023-10-01,2271,Mouse,Acessórios,1958.15,3,5874.450000000001
