ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade
1,2023-08-26,1847,Cadeira Gamer,Móveis,1403.51,2
2,2023-08-28,1684,Webcam,Acessórios,903.64,5
3,2023-09-20,2047,Headset,Áudio,4814.81,5
4,2023-09-08,3736,Cadeira Gamer,Móveis,2950.43,4
5,2023-02-18,4787,Webcam,Acessórios,806.65,4
6,2023-04-23,2060,Mouse,Acessórios,3495.12,2
7,2023-07-08,4484,Notebook,Eletrônicos,3807.91,1
8,2023-01-06,2307,Cadeira Gamer,Móveis,4824.24,1
9,2023-03-26,2712,Headset,Áudio,3919.91,1
10,2023-12-11,4906,Notebook,Eletrônicos,2147.68,4
11,2023-08-30,1503,Teclado,Acessórios,2440.07,1
12,2023-07-21,2218,Monitor,Eletrônicos,1214.68,1
13,2023-12-08,4675,Notebook,Eletrônicos,2169.78,1
14,2023-05-29,2505,Headset,Áudio,2441.85,3
15,2023-04-07,4082,Cadeira Gamer,Móveis,2605.9,4
16,2023-06-02,3642,Cadeira Gamer,Móveis,4306.35,1
17,2024-01-01,1513,Webcam,Acessórios,2349.75,4
18,2023-09-10,4297,Notebook,Eletrônicos,2789.3,2
19,2023-12-06,2294,Webcam,Acessórios,1732.9,1
20,2023-08-17,2050,Teclado,Acessórios,880.21,4
21,2023-07-16,1273,Headset,Áudio,4116.39,5
22,2023-05-11,4144,Webcam,Acessórios,2844.1,3
23,2023-02-08,1066,Mouse,Acessórios,1272.17,4
24,2023-04-19,1766,Teclado,Acessórios,160.37,1
25,2023-11-22,3190,Mouse,Acessórios,1079.22,2
26,2023-12-03,3413,Webcam,Acessórios,771.77,2
27,2023-08-15,2458,Monitor,Eletrônicos,4566.92,2
28,2023-05-12,4316,Mouse,Acessórios,1504.35,1
29,2023-12-25,2139,Notebook,Eletrônicos,3379.89,1
30,2023-05-26,3369,Monitor,Eletrônicos,1630.46,5
